Player		 Dealer	 Stand	 Hit	 Double	 Split	
2 2 		2	999	999	None	1002	
2 2 		3	999	999	None	1000	
2 2 		4	1001	1001	None	1002	
2 2 		5	1001	1001	None	1004	
2 2 		6	997	997	None	994	
2 2 		7	1001	997	None	996	
2 2 		8	1001	999	None	1002	
2 2 		9	997	999	None	1002	
2 2 		10	997	1001	None	997	
2 2 		A	997	997	None	996	
2 3 		2	1001	1001	None	None	
2 3 		3	999	999	None	None	
2 3 		4	997	997	None	None	
2 3 		5	999	999	None	None	
2 3 		6	999	999	None	None	
2 3 		7	997	997	None	None	
2 3 		8	1001	1001	None	None	
2 3 		9	999	1001	None	None	
2 3 		10	997	997	None	None	
2 3 		A	997	998	None	None	
2 4 		2	1001	1001	None	None	
2 4 		3	999	1003	None	None	
2 4 		4	997	997	None	None	
2 4 		5	1001	1001	None	None	
2 4 		6	999	999	None	None	
2 4 		7	997	999	None	None	
2 4 		8	999	999	None	None	
2 4 		9	997	999	None	None	
2 4 		10	997	997	None	None	
2 4 		A	997	997	None	None	
2 5 		2	999	999	None	None	
2 5 		3	997	997	None	None	
2 5 		4	1001	1001	None	None	
2 5 		5	999	1001	None	None	
2 5 		6	999	1000	None	None	
2 5 		7	997	999	None	None	
2 5 		8	997	997	None	None	
2 5 		9	1001	1001	None	None	
2 5 		10	1001	1003	None	None	
2 5 		A	999	1001	None	None	
2 6 		2	1001	1000	None	None	
2 6 		3	999	1000	None	None	
2 6 		4	1001	1001	None	None	
2 6 		5	997	997	None	None	
2 6 		6	999	999	None	None	
2 6 		7	999	1002	None	None	
2 6 		8	997	999	None	None	
2 6 		9	1001	1001	None	None	
2 6 		10	997	998	None	None	
2 6 		A	997	999	None	None	
2 7 		2	1001	1002	1006	None	
2 7 		3	997	999	1002	None	
2 7 		4	999	1000	998	None	
2 7 		5	1001	1003	1006	None	
2 7 		6	999	1001	1002	None	
2 7 		7	997	1002	994	None	
2 7 		8	999	1000	998	None	
2 7 		9	999	1001	998	None	
2 7 		10	999	999	998	None	
2 7 		A	997	1001	996	None	
2 8 		2	997	999	1002	None	
2 8 		3	997	1001	1000	None	
2 8 		4	999	1001	998	None	
2 8 		5	1001	1001	1002	None	
2 8 		6	1001	1003	1002	None	
2 8 		7	999	1000	1004	None	
2 8 		8	997	1000	998	None	
2 8 		9	999	1001	998	None	
2 8 		10	997	997	994	None	
2 8 		A	997	1001	1002	None	
2 9 		2	999	1003	1000	None	
2 9 		3	999	1002	1000	None	
2 9 		4	1003	1003	1006	None	
2 9 		5	999	1001	1002	None	
2 9 		6	1001	1003	1002	None	
2 9 		7	999	999	1002	None	
2 9 		8	999	1000	1002	None	
2 9 		9	999	1003	1002	None	
2 9 		10	999	999	998	None	
2 9 		A	997	997	998	None	
2 10 		2	999	999	None	None	
2 10 		3	999	999	None	None	
2 10 		4	1003	997	None	None	
2 10 		5	1003	1001	None	None	
2 10 		6	997	998	None	None	
2 10 		7	997	999	None	None	
2 10 		8	997	1000	None	None	
2 10 		9	997	997	None	None	
2 10 		10	999	997	None	None	
2 10 		A	999	999	None	None	
2 A 		2	1001	1003	None	None	
2 A 		3	997	997	None	None	
2 A 		4	999	1000	None	None	
2 A 		5	999	1000	None	None	
2 A 		6	1001	1001	None	None	
2 A 		7	1001	1001	None	None	
2 A 		8	999	999	None	None	
2 A 		9	999	1003	None	None	
2 A 		10	997	997	None	None	
2 A 		A	999	1002	None	None	
3 2 		2	999	999	None	None	
3 2 		3	997	997	None	None	
3 2 		4	997	997	None	None	
3 2 		5	997	999	None	None	
3 2 		6	1001	1001	None	None	
