Player		 Dealer	 Stand	 Hit	 Double	 Split	
2 2 		2	-0.2757	-0.1107	 None 	-0.1965	
2 2 		3	-0.2667	-0.1227	 None 	-0.1725	
2 2 		4	-0.2157	-0.0732	 None 	-0.1203	
2 2 		5	-0.1671	-0.0255	 None 	0.0021	
2 2 		6	-0.1677	-0.0270	 None 	0.0255	
2 2 		7	-0.4869	-0.0774	 None 	-0.0534	
2 2 		8	-0.5062	-0.1656	 None 	-0.2211	
2 2 		9	-0.5296	-0.2385	 None 	-0.3465	
2 2 		10	-0.5494	-0.3513	 None 	-0.5962	
2 2 		A	-0.7618	-0.4848	 None 	-0.8791	
2 3 		2	-0.3015	-0.1704	 None 	 None 	
2 3 		3	-0.2745	-0.1254	 None 	 None 	
2 3 		4	-0.2013	-0.0768	 None 	 None 	
2 3 		5	-0.1605	-0.0243	 None 	 None 	
2 3 		6	-0.1857	-0.0489	 None 	 None 	
2 3 		7	-0.4725	-0.1323	 None 	 None 	
2 3 		8	-0.5134	-0.2067	 None 	 None 	
2 3 		9	-0.5536	-0.2721	 None 	 None 	
2 3 		10	-0.5662	-0.3516	 None 	 None 	
2 3 		A	-0.7816	-0.5233	 None 	 None 	
2 4 		2	-0.2691	-0.1098	 None 	 None 	
2 4 		3	-0.2397	-0.1026	 None 	 None 	
2 4 		4	-0.2199	-0.0909	 None 	 None 	
2 4 		5	-0.1671	-0.0471	 None 	 None 	
2 4 		6	-0.1941	-0.0615	 None 	 None 	
2 4 		7	-0.4611	-0.1548	 None 	 None 	
2 4 		8	-0.5080	-0.2301	 None 	 None 	
2 4 		9	-0.5572	-0.3279	 None 	 None 	
2 4 		10	-0.5482	-0.4068	 None 	 None 	
2 4 		A	-0.7708	-0.5128	 None 	 None 	
2 5 		2	-0.2829	-0.1140	 None 	 None 	
2 5 		3	-0.2529	-0.0783	 None 	 None 	
2 5 		4	-0.2133	-0.0489	 None 	 None 	
2 5 		5	-0.1809	-0.0129	 None 	 None 	
2 5 		6	-0.1239	0.0684	 None 	 None 	
2 5 		7	-0.4821	-0.0858	 None 	 None 	
2 5 		8	-0.4737	-0.1836	 None 	 None 	
2 5 		9	-0.5380	-0.2760	 None 	 None 	
2 5 		10	-0.6184	-0.4095	 None 	 None 	
2 5 		A	-0.7834	-0.5404	 None 	 None 	
2 6 		2	-0.2853	0.0057	 None 	 None 	
2 6 		3	-0.2481	-0.0084	 None 	 None 	
2 6 		4	-0.2157	0.0324	 None 	 None 	
2 6 		5	-0.1647	0.0783	 None 	 None 	
2 6 		6	-0.1443	0.1131	 None 	 None 	
2 6 		7	-0.4761	0.0828	 None 	 None 	
2 6 		8	-0.4935	-0.0489	 None 	 None 	
2 6 		9	-0.5278	-0.2091	 None 	 None 	
2 6 		10	-0.5866	-0.3009	 None 	 None 	
2 6 		A	-0.7594	-0.4419	 None 	 None 	
2 7 		2	-0.3135	0.0645	0.0228	 None 	
2 7 		3	-0.2373	0.1137	0.1344	 None 	
2 7 		4	-0.2247	0.1125	0.1548	 None 	
2 7 		5	-0.1545	0.1638	0.2484	 None 	
2 7 		6	-0.1737	0.1488	0.2634	 None 	
2 7 		7	-0.4707	0.1734	0.1314	 None 	
2 7 		8	-0.5188	0.0867	-0.0684	 None 	
2 7 		9	-0.5566	-0.0573	-0.3324	 None 	
2 7 		10	-0.5746	-0.2154	-0.6073	 None 	
2 7 		A	-0.7888	-0.3483	-0.9403	 None 	
2 8 		2	-0.2751	0.1713	0.3342	 None 	
2 8 		3	-0.2397	0.2022	0.4434	 None 	
2 8 		4	-0.2145	0.2253	0.4710	 None 	
2 8 		5	-0.1911	0.2229	0.4374	 None 	
2 8 		6	-0.1305	0.2991	0.6151	 None 	
2 8 		7	-0.4773	0.2337	0.3954	 None 	
2 8 		8	-0.4983	0.2082	0.3186	 None 	
2 8 		9	-0.5308	0.0765	0.1848	 None 	
2 8 		10	-0.5848	-0.0447	-0.1362	 None 	
2 8 		A	-0.7708	-0.2118	-0.6391	 None 	
2 9 		2	-0.2949	0.2250	0.4824	 None 	
2 9 		3	-0.2769	0.2643	0.4992	 None 	
2 9 		4	-0.2097	0.2682	0.5545	 None 	
2 9 		5	-0.1713	0.3108	0.6163	 None 	
2 9 		6	-0.1611	0.3291	0.6565	 None 	
2 9 		7	-0.4641	0.3030	0.4470	 None 	
2 9 		8	-0.5074	0.2112	0.3288	 None 	
2 9 		9	-0.5338	0.1506	0.2706	 None 	
2 9 		10	-0.5848	0.0129	-0.0096	 None 	
2 9 		A	-0.7672	-0.2127	-0.5167	 None 	
2 10 		2	-0.2859	-0.2670	 None 	 None 	
2 10 		3	-0.2451	-0.2400	 None 	 None 	
2 10 		4	-0.2145	-0.2172	 None 	 None 	
2 10 		5	-0.1719	-0.2025	 None 	 None 	
2 10 		6	-0.1575	-0.1731	 None 	 None 	
2 10 		7	-0.4797	-0.2247	 None 	 None 	
2 10 		8	-0.5146	-0.2808	 None 	 None 	
2 10 		9	-0.5560	-0.3438	 None 	 None 	
2 10 		10	-0.5782	-0.4398	 None 	 None 	
2 10 		A	-0.7666	-0.5680	 None 	 None 	
2 A 		2	-0.3357	-0.0777	 None 	 None 	
2 A 		3	-0.2391	-0.0054	 None 	 None 	
2 A 		4	-0.2247	0.0360	 None 	 None 	
2 A 		5	-0.1605	0.0840	 None 	 None 	
2 A 		6	-0.1695	0.0723	 None 	 None 	
2 A 		7	-0.4575	0.0969	 None 	 None 	
2 A 		8	-0.5158	0.0156	 None 	 None 	
2 A 		9	-0.5350	-0.0768	 None 	 None 	
2 A 		10	-0.5902	-0.1944	 None 	 None 	
2 A 		A	-0.7702	-0.3642	 None 	 None 	
3 2 		2	-0.2799	-0.1419	 None 	 None 	
3 2 		3	-0.2433	-0.0960	 None 	 None 	
3 2 		4	-0.2085	-0.0684	 None 	 None 	
3 2 		5	-0.1839	-0.0582	 None 	 None 	
