Player		 Dealer	 Stand	 Hit	 Double	 Split	
[2, 2] 		2	730.0	730.0	None	460.0	
[3, 2] 		2	670.0	670.0	None	None	
[4, 2] 		2	694.0	708.0	None	None	
[5, 2] 		2	838.0	891.0	None	None	
[6, 2] 		2	840.0	1022.0	None	None	
[7, 2] 		2	726.0	1084.0	1186.0	None	
[8, 2] 		2	786.0	1322.0	1626.0	None	
[9, 2] 		2	754.0	1288.0	1588.0	None	
[10, 2] 		2	614.0	781.0	None	None	
['A', 2] 		2	828.0	1090.0	None	None	
[2, 3] 		2	672.0	672.0	None	None	
[3, 3] 		2	712.0	724.0	None	424.0	
[4, 3] 		2	662.0	745.0	None	None	
[5, 3] 		2	762.0	952.0	None	None	
[6, 3] 		2	748.0	1117.0	1256.0	None	
[7, 3] 		2	776.0	1322.0	1600.0	None	
[8, 3] 		2	766.0	1370.0	1696.0	None	
[9, 3] 		2	750.0	684.0	None	None	
[10, 3] 		2	668.0	754.0	None	None	
['A', 3] 		2	770.0	1049.0	None	None	
[2, 4] 		2	668.0	679.0	None	None	
[3, 4] 		2	612.0	705.0	None	None	
[4, 4] 		2	740.0	928.0	None	480.0	
[5, 4] 		2	850.0	1111.0	1364.0	None	
[6, 4] 		2	790.0	1279.0	1490.0	None	
[7, 4] 		2	798.0	1389.0	1718.0	None	
[8, 4] 		2	754.0	696.0	None	None	
[9, 4] 		2	744.0	764.0	None	None	
[10, 4] 		2	620.0	632.0	None	None	
['A', 4] 		2	758.0	1015.0	None	None	
[2, 5] 		2	796.0	861.0	None	None	
[3, 5] 		2	766.0	933.0	None	None	
[4, 5] 		2	760.0	1089.0	1142.0	None	
[5, 5] 		2	766.0	1255.0	1542.0	532.0	
[6, 5] 		2	936.0	1403.0	1878.0	None	
[7, 5] 		2	806.0	684.0	None	None	
[8, 5] 		2	884.0	593.0	None	None	
[9, 5] 		2	866.0	631.0	None	None	
[10, 5] 		2	714.0	471.0	None	None	
['A', 5] 		2	794.0	960.0	None	None	
[2, 6] 		2	802.0	1000.0	None	None	
[3, 6] 		2	724.0	1120.0	1164.0	None	
[4, 6] 		2	756.0	1262.0	1548.0	None	
[5, 6] 		2	956.0	1458.0	1914.0	None	
[6, 6] 		2	764.0	715.0	None	551.0	
[7, 6] 		2	894.0	629.0	None	None	
[8, 6] 		2	926.0	718.0	None	None	
[9, 6] 		2	812.0	555.0	None	None	
[10, 6] 		2	706.0	639.0	None	None	
['A', 6] 		2	918.0	1008.0	None	None	
[2, 7] 		2	780.0	1120.0	1240.0	None	
[3, 7] 		2	758.0	1275.0	1592.0	None	
[4, 7] 		2	754.0	1344.0	1670.0	None	
[5, 7] 		2	878.0	703.0	None	None	
[6, 7] 		2	882.0	552.0	None	None	
[7, 7] 		2	766.0	525.0	None	694.0	
[8, 7] 		2	820.0	730.0	None	None	
[9, 7] 		2	786.0	595.0	None	None	
[10, 7] 		2	800.0	478.0	None	None	
['A', 7] 		2	1183.0	1057.0	None	None	
[2, 8] 		2	776.0	1296.0	1466.0	None	
[3, 8] 		2	780.0	1362.0	1716.0	None	
[4, 8] 		2	776.0	701.0	None	None	
[5, 8] 		2	842.0	603.0	None	None	
[6, 8] 		2	836.0	636.0	None	None	
[7, 8] 		2	812.0	757.0	None	None	
[8, 8] 		2	804.0	541.0	None	1047.0	
[9, 8] 		2	940.0	546.0	None	None	
[10, 8] 		2	1159.0	345.0	None	None	
['A', 8] 		2	1481.0	1097.0	None	None	
[2, 9] 		2	726.0	1285.0	1470.0	None	
