Player		 Dealer	 Stand	 Hit	 Double	 Split	
2 2 		2	976	987	None	981	
2 2 		3	972	993	None	998	
2 2 		4	988	1008	None	1010	
2 2 		5	1004	1018	None	1042	
2 2 		6	980	1002	None	993	
2 2 		7	942	991	None	1009	
2 2 		8	940	968	None	990	
2 2 		9	946	971	None	982	
2 2 		10	938	972	None	940	
2 2 		A	922	946	None	908	
2 3 		2	974	988	None	None	
2 3 		3	964	974	None	None	
2 3 		4	982	989	None	None	
2 3 		5	968	982	None	None	
2 3 		6	994	1004	None	None	
2 3 		7	940	989	None	None	
2 3 		8	960	965	None	None	
2 3 		9	934	965	None	None	
2 3 		10	942	960	None	None	
2 3 		A	922	951	None	None	
2 4 		2	978	986	None	None	
2 4 		3	980	1002	None	None	
2 4 		4	980	990	None	None	
2 4 		5	992	997	None	None	
2 4 		6	984	998	None	None	
2 4 		7	932	976	None	None	
2 4 		8	950	977	None	None	
2 4 		9	946	974	None	None	
2 4 		10	956	961	None	None	
2 4 		A	918	940	None	None	
2 5 		2	968	984	None	None	
2 5 		3	968	982	None	None	
2 5 		4	990	999	None	None	
2 5 		5	990	1004	None	None	
2 5 		6	982	997	None	None	
2 5 		7	942	986	None	None	
2 5 		8	958	993	None	None	
2 5 		9	938	977	None	None	
2 5 		10	948	956	None	None	
2 5 		A	930	940	None	None	
2 6 		2	974	1004	None	None	
2 6 		3	998	1022	None	None	
2 6 		4	998	1026	None	None	
2 6 		5	984	996	None	None	
2 6 		6	978	1002	None	None	
2 6 		7	974	1034	None	None	
2 6 		8	952	990	None	None	
2 6 		9	950	964	None	None	
2 6 		10	946	972	None	None	
2 6 		A	922	938	None	None	
2 7 		2	966	1012	990	None	
2 7 		3	978	1013	1032	None	
2 7 		4	996	1027	1040	None	
2 7 		5	974	1008	1016	None	
2 7 		6	974	1015	1032	None	
2 7 		7	960	1025	1022	None	
2 7 		8	944	1015	1020	None	
2 7 		9	944	995	942	None	
2 7 		10	932	980	926	None	
2 7 		A	924	953	904	None	
2 8 		2	958	1001	1018	None	
2 8 		3	978	1021	1034	None	
2 8 		4	1000	1025	1070	None	
2 8 		5	962	1027	1020	None	
2 8 		6	998	1047	1062	None	
2 8 		7	952	1021	1014	None	
2 8 		8	944	1029	1000	None	
2 8 		9	946	1019	1010	None	
2 8 		10	960	1001	992	None	
2 8 		A	930	977	948	None	
2 9 		2	984	1028	1076	None	
2 9 		3	984	1040	1062	None	
2 9 		4	972	1016	1002	None	
2 9 		5	978	1027	1066	None	
2 9 		6	976	1024	1044	None	
2 9 		7	958	1012	1056	None	
2 9 		8	966	1017	1050	None	
2 9 		9	942	1027	1012	None	
2 9 		10	936	981	994	None	
2 9 		A	932	975	954	None	
2 10 		2	964	984	None	None	
2 10 		3	982	981	None	None	
2 10 		4	972	978	None	None	
2 10 		5	986	987	None	None	
2 10 		6	1012	989	None	None	
2 10 		7	956	975	None	None	
2 10 		8	946	972	None	None	
2 10 		9	950	960	None	None	
2 10 		10	938	953	None	None	
2 10 		A	928	944	None	None	
2 A 		2	986	1015	None	None	
2 A 		3	968	984	None	None	
2 A 		4	982	1013	None	None	
2 A 		5	1008	1015	None	None	
2 A 		6	1004	1030	None	None	
2 A 		7	976	1008	None	None	
2 A 		8	938	1002	None	None	
2 A 		9	952	999	None	None	
2 A 		10	948	993	None	None	
2 A 		A	926	967	None	None	
3 2 		2	978	995	None	None	
3 2 		3	954	978	None	None	
3 2 		4	986	1000	None	None	
3 2 		5	970	976	None	None	
3 2 		6	988	1001	None	None	
3 2 		7	942	995	None	None	
3 2 		8	954	997	None	None	
3 2 		9	946	992	None	None	
3 2 		10	948	971	None	None	
3 2 		A	922	941	None	None	
3 3 		2	980	995	None	989	
3 3 		3	984	985	None	986	
3 3 		4	986	998	None	1000	
3 3 		5	986	1007	None	1006	
3 3 		6	980	995	None	992	
3 3 		7	954	972	None	1009	
3 3 		8	948	974	None	989	
3 3 		9	942	967	None	953	
3 3 		10	930	947	None	919	
3 3 		A	922	948	None	908	
3 4 		2	954	971	None	None	
3 4 		3	984	992	None	None	
3 4 		4	966	987	None	None	
3 4 		5	986	1006	None	None	
3 4 		6	992	1013	None	None	
3 4 		7	958	979	None	None	
3 4 		8	946	983	None	None	
3 4 		9	930	959	None	None	
3 4 		10	926	947	None	None	
3 4 		A	914	938	None	None	
3 5 		2	968	998	None	None	
3 5 		3	976	991	None	None	
3 5 		4	970	1001	None	None	
3 5 		5	960	981	None	None	
3 5 		6	982	1007	None	None	
3 5 		7	940	993	None	None	
3 5 		8	956	985	None	None	
3 5 		9	950	987	None	None	
3 5 		10	946	978	None	None	
3 5 		A	926	963	None	None	
3 6 		2	954	1003	990	None	
3 6 		3	980	1004	1028	None	
3 6 		4	976	1006	1008	None	
3 6 		5	990	1033	1044	None	
3 6 		6	976	1016	1026	None	
